,employees,salaries_2017,adjustments,salaries_2018,got_raise
,,,,,
1,Employeeÿ1,45282.31,6233.03718,51515.35,TRUE
2,Employeeÿ2,47592.61,-4200.27685,43392.33,FALSE
3,Employeeÿ3,46531.1,5356.31484,51887.42,TRUE
4,Employeeÿ4,47017.34,-3566.94011,43450.4,FALSE
5,Employeeÿ5,45261.7,-2835.83771,42425.86,FALSE
6,Employeeÿ6,48981.42,-4338.13343,44643.29,FALSE
7,Employeeÿ7,43959.16,-4132.8485,39826.31,FALSE
8,Employeeÿ8,41510.68,8041.3789,49552.06,TRUE
9,Employeeÿ9,46726.82,4831.18852,51558.01,TRUE
10,Employeeÿ10,49560.21,4746.22633,54306.43,TRUE
11,Employeeÿ11,41779.16,-134.23651,41644.93,FALSE
12,Employeeÿ12,41725.06,-1995.29895,39729.76,FALSE
13,Employeeÿ13,45719.31,-4303.93844,41415.37,FALSE
14,Employeeÿ14,43065.26,5015.06765,48080.33,TRUE
15,Employeeÿ15,42791.92,4987.6061,47779.53,TRUE
16,Employeeÿ16,48957.56,-36.07899,48921.48,FALSE
17,Employeeÿ17,46613.15,-1630.84263,44982.31,FALSE
18,Employeeÿ18,49933.73,3250.31935,53184.05,TRUE
19,Employeeÿ19,48278.43,49.30412,48327.74,TRUE
20,Employeeÿ20,46643.74,7978.79314,54622.54,TRUE
21,Employeeÿ21,46227.61,-4365.66532,41861.94,FALSE
22,Employeeÿ22,42702.47,-4031.05929,38671.41,FALSE
23,Employeeÿ23,48544.77,-2515.26332,46029.51,FALSE
24,Employeeÿ24,43420.47,2439.00225,45859.47,TRUE
25,Employeeÿ25,44460.31,8144.70023,52605.01,TRUE
26,Employeeÿ26,45274.53,3255.96441,48530.49,TRUE
27,Employeeÿ27,42204.71,6719.13165,48923.84,TRUE
28,Employeeÿ28,43636.58,7509.66299,51146.24,TRUE
29,Employeeÿ29,49904.56,-470.3167,49434.25,FALSE
30,Employeeÿ30,42507.03,6546.5827,49053.61,TRUE
31,Employeeÿ31,44651.58,-3641.23239,41010.35,FALSE
32,Employeeÿ32,44040.9,9317.41582,53358.32,TRUE
33,Employeeÿ33,40691.42,1539.12663,42230.55,TRUE
34,Employeeÿ34,40268.47,9608.22568,49876.7,TRUE
35,Employeeÿ35,44073.25,2651.29716,46724.54,TRUE
36,Employeeÿ36,46468.66,-4923.23101,41545.43,FALSE
37,Employeeÿ37,42646.27,-2846.38947,39799.88,FALSE
38,Employeeÿ38,44091.74,1036.2498,45127.99,TRUE
39,Employeeÿ39,45856.74,3706.78143,49563.53,TRUE
40,Employeeÿ40,43752.12,6763.77199,50515.9,TRUE
41,Employeeÿ41,42288.75,8974.99979,51263.75,TRUE
42,Employeeÿ42,40207.59,4041.5471,44249.13,TRUE
43,Employeeÿ43,49446.02,8682.65008,58128.67,TRUE
44,Employeeÿ44,43507.77,-2423.13314,41084.64,FALSE
45,Employeeÿ45,41342.04,1311.02144,42653.06,TRUE
46,Employeeÿ46,44329.8,-2898.652,41431.15,FALSE
47,Employeeÿ47,46788.59,4797.81815,51586.41,TRUE
48,Employeeÿ48,49963.01,8952.13426,58915.14,TRUE
49,Employeeÿ49,42696.32,4436.40735,47132.73,TRUE
50,Employeeÿ50,43610.9,9459.67555,53070.57,TRUE
51,Employeeÿ51,43464.32,3706.29492,47170.62,TRUE
52,Employeeÿ52,45785.44,-3340.78958,42444.65,FALSE
53,Employeeÿ53,49939.87,6362.34477,56302.22,TRUE
54,Employeeÿ54,49795.58,9140.60521,58936.19,TRUE
55,Employeeÿ55,45075.17,1776.62359,46851.8,TRUE
56,Employeeÿ56,43486.14,4969.11492,48455.25,TRUE
